add,添加
also,還、也
amount,總數
angle,釣魚、角度
apparent,外觀上的、顯然的
assume,假定
axe,大削減、斧
below,在樓下、在下面
beneath,在...之下
boil,沸騰
breathe,呼吸、發出
carry,挑、搬
cheerful,高興的、愉快的
coach,教練
combine,聯合、結合
crowded,擁擠的
designer,設計家、陰謀家
door,門
employee,店員、僱員
exist,存在
existence,實在物、存在
experiment,試驗、進行實驗
fail,不及格、失敗
flock,積存、群
floor,地面、地板
fond,喜愛的、多情的
fourth,第四的、第四個的
freedom,自由
French fries,薯條
frequent,時常發生的、頻繁的
frisbee,飛盤
funny,愛開玩笑的、有趣的
grass,牧草、草
handful,少數、一把
happy,樂意的、感到高興的
hear,聽見、聽
hip,臀部
hole,洞
hop,單足跳
immediate,直接的、立即的
jelly,果凍
kneel,跪下
lake,湖
loose,放縱、釋放
lord,統治者、地主
love,愛戴、熱愛
many,許多的、多的
mayor,市長
month,月
narrow,窄的
newspaper,報紙
night,晚上、夜
noisy,喧鬧的
November,十一月
o'clock,點鐘
path,路線、小徑
pen,鋼筆、筆
plan,打算、計劃
plenty,豐富、大量
pony,小型馬、付清
postcard,明信片
practice,實行、實踐
previous,在前的、早先的
primary,初級的、主要的
princess,公主
principle,真諦、主義
program,節目、程序
radar,電波探測器、雷達
reach,到、伸出
relative,有關的、相對的
roar,滾動、咆哮
rubber,橡膠
Saturday,星期六
savings,儲蓄
say,講、說
scenery,風景
secondary,中級的、次要的
seventy,七十
skill,技能
spill,灑、溢出
spread,展開
squeeze,壓榨、擠榨
sweet,甜的
taste,味覺
teach,講授、教
tell,說、告訴
terrible,可怕的
thirteen,十三個的、十三的
toothbrush,牙刷
traffic,交通
T-shirt,T恤
Tuesday,星期二
tunnel,隧道
umbrella,雨傘、傘
unhappy,不愉快的、痛苦的
wake,醒著、醒來
Wednesday,星期三
wing,翅膀
wood,木材
yourself,你、你們
