active,活躍的
actual,現行的、真實的
advice,通知、建議
attention,注意、專心
avoid,避免
bacon,鹹肉、燻肉
beard,鬍子
bed,床、睡眠處
blue,青色的、藍色的
break,折斷、打破
breath,氣味、呼吸
breeze,微風
brow,額、眉毛
bubble,泡沫、起泡
bull,廢話、公牛
burst,闖入、爆開
businessman,商人、實業家
certain,肯定的
chance,運氣、偶然
change,改變、使變化
chop,砍、商標
class,社會等級、階級
clear,清澈的、透明的
climb,爬、登上
condition,社會地位、條件
course,課程、科目
dash,衝撞、猛擲
debate,辯論
earrings,耳環
emperor,皇帝、君主
every,每個、全部的
face,臉、面孔
factor,要素、因素
faint,昏倒、暗淡的
fry,油煎、油炸
generous,慷慨的
get,獲得、得到
goat,山羊
grasp,抓緊、掌握
gum,樹脂、口香糖
hammer,鎚、敲打
heap,堆、大量
him,他
homesick,想家的
humankind,人類
icy,冰冷的、冷淡的
invitation,邀請
join,使結合、連結
latter,後者
lock,鎖住、鎖
magnet,磁體、磁鐵
meanwhile,其時、其間
medicine,藥、內服藥
men's room,男廁
minus,減、負號
morning,上午、早晨
nod,點頭
oil,油
ownership,所有權、物主身份
parrot,鸚鵡
password,密碼、口令
peak,最高的、頂點
pineapple,鳳梨
planet,行星
post meridiem,下午
pray,禱告
present,在場的、出席的
principal,中小學校長
profit,利潤、得益
protective,保護的、給予保護的
rate,等級、速度
rely,依靠、信賴
remote,偏僻的、遙遠的
rough,粗略的、大致的
select,挑選
sexy,色情的、迷人的
shallow,淺薄的、淺的
similarity,類似、類似處
skirt,襯裙、裙子
sleepy,想睡的
stool,凳子、大便
student,高中或大學的學生
subway,地鐵
succeed,成功
suppose,猜想、假設
sure,確信的、有把握的
tax,稅金、罰款
tender,軟弱的、溫柔的
test,試驗
this,這個
total,總額、總的
tribe,部落、部族
use,使用、用
vacant,空的、空閑的
value,價值
weekday,工作日
when,什麼時候、何時
white,白色的
wisdom,名言、智慧
yet,還沒
