address,地址、演說
alive,活躍的、活著的
ambassador,大使
American,美國的、美洲的
angry,發怒的、生氣的
anything,什麼東西、什麼事情
arm,臂
assistant,助手
at,在…地點
award,獎品、授予
bedroom,臥室、寢室
besides,除、並且
birthday,生日
born,產生的、誕生的
breast,胸部、心情
broad,寬廣的
brook,容忍、小溪
cage,獸籠、鳥籠
cash,兌現、現款
cloudy,多雲的、陰天的
cold,寒冷的、冷的
column,縱隊、圓柱
concern,涉及、使擔心
confident,確信的、自信的
credit card,信用卡
creep,蔓延、爬
daughter,養女、女兒
decade,十年、十
deed,契約、實行
degree,程度
detect,查出
dial,撥電話號碼
dirt,泥土、污垢
electric,電動的、導電的
emergency,緊急情況、非常時刻
engagement,交戰、諾言
excellent,傑出的、出色的
exciting,令人激動的、令人興奮的
fan,扇子、愛好者
forgive,原諒
formal,正式的
fruit,水果
headache,頭痛
height,高度
home,住家、家
indoor,室內的、戶內的
kettle,罐、壺
kilometer,公里
kindergarten,幼稚園
knight,騎士、授以爵位
leader,領導者、領袖
menu,菜單
mix,混合
money,貨幣、通貨
nation,國家
no,沒有
over,在正上方、在…之上
paint,油漆、塗料
pardon,寬恕
past,過去的、剛過去的
personality,誹謗﹑個性
pleasant,愉快的、美好的
pop,突然、取出
raise,提高、舉起
remember,想起、記得
remind,提醒、使想起
rich,富有的、有錢的
ring,圈、環形物
river,河、江
roast,烤、烘烤
rope,粗繩
screw,螺絲、擰
security,安全
several,數個的、幾個的
silent,寂靜的
silver,銀白的、銀的
sleeve,袖子
sore,劇烈的、疼痛的
step,臺階、步
strawberry,草莓
subject,學科、主題
suggest,建議、暗示
survey,審視、調查
tailor,剪裁、裁縫
temple,廟宇、神殿
thirsty,渴的、口乾的
tide,趨勢、潮流
tie,結、領帶
tool,工具
tower,塔
town,鎮、市鎮
trail,蹤跡、線索
traveler,旅遊者、旅行者
truth,事實、真相
ugly,醜的
vitamin,維生素、維他命
who,誰、什麼人
wild,野生的、無法無天的
wolf,狼
yard,庭院、碼
