acceptable,合意的、可接受的
ache,疼痛、渴望
action,動作
afford,提供、供應得起
air,大氣、空氣
amaze,使吃驚
average,均分、平均
badminton,羽毛球
biscuit,餅乾、小點心
bow,弓、鞠躬
buzz,嗡嗡作響、逼近
canyon,溪谷、峽谷
car,汽車
changeable,可改變的
cheese,乾酪、乳酪
choice,選擇
collect,收集、採集
company,公司
compare,比較
considerable,相當可觀的、值得考慮的
control,控制
couch,睡椅、長沙發
couple,一對
cover,覆蓋、遮蓋
crawl,自由泳、爬行
democratic,民主的、民主主義的
dessert,餐後甜點
diary,日記
ease,減輕
effort,努力
else,其他、另外
environment,環境
exhibition,展覽會、展覽品
false,假的
family,家人、家庭
female,雌性動物、女性的
find,發現、找到
first,第一的、最高的
free,不受控制的、自由的
front,前面、正面
giant,巨大的、巨人
goodbye,再見!
gray,灰色的、偏灰的
guy,人、傢伙
heat,把…加熱
hide,隱藏、把…藏起來
honey,蜂蜜、心愛的人
horrible,討厭的、可怕的
ink,墨水
inspect,檢查、視察
kind,種類
lamp,油燈、燈火
leaf,樹葉
manager,管理器、經理
mile,英里、哩
minor,較小的、次要的
misery,不幸、悲慘
miss,錯過、掛牽
motel,汽車旅館
nature,自然
net,網子
offer,提供
opinion,意見
outdoor,戶外
pajamas,睡衣
pea,豌豆
pile,堆起、一堆
plate,碟、盤
plug,插銷、插頭
plus,加、正號
politics,政見、政治
problem,問題、疑難問題
responsible,負責任的
ride,騎馬、乘車
scooter,小輪摩托車
sharp,尖銳的、敏銳的
shower,陣雨、淋浴
sigh,嘆息、嘆氣
sometimes,有時
staff,全體職員
stationery,文具
style,類型、風格
successful,成功的、勝利的
sweat,使出汗、汗
there,那裡
think,思索、想
those,那些
threaten,威脅、恐嚇
throat,喉嚨
trap,設陷阱、圈套
tub,浴缸、浴盆
uniform,相同的、一致的
vocabulary,字彙
waken,喚醒、醒來
way,道路、通路
well,很好地、成功地
wheat,樸實的人、小麥
while,當
will,將
would,將
