a few,一些、幾個
airplane,飛機
any,每一、任一
apart,分別、分開
aquarium,玻璃缸、水族館
barrel,裝入桶內、桶
bear,熊、承受
blanket,毯子、覆蓋
branch,樹枝、支部
bug,小蟲
casual,偶然的、臨時的
classroom,教室
closet,壁櫥、衣櫥
comic,喜劇般的、喜劇的
comma,逗號、逗點
conclude,決定、推斷
consider,考慮
day,日、一天
drama,戲劇
drum,鼓
dumb,啞的、愚笨的
elder,長輩、年紀較長的
fault,過錯
five,五個的、五的
general,將軍、普遍的
glass,玻璃
hat,有邊的帽子
heater,暖氣機
horror,恐怖、極端厭惡
hour,小時
humorous,幽默的、異想天開的
impossible,不可能的
information,資訊
injury,侮辱、傷害
jewelry,珠寶類、珠寶
joyful,興高彩烈的、快樂的
judge,法官、判斷
lace,花邊、緞帶
large,大規模的、大的
leap,跳躍、飛躍
let,允許、讓
line,繩、線
liquid,液體
long,長的、遠的
lovely,動人的
magic,巫術、魔法
maid,女僕、少女
marry,結婚
merchant,商人、貿易商
mighty,有勢力的、強大的
mushroom,蘑菇
music,音樂、樂曲
nerve,神經、勇氣
opportunity,機會、時機
package,包、包裹
panda,貓熊
park,公園、遊樂場
persuade,勸說、說服
pocket,口袋
portion,一分、一部份
postpone,使延期、推遲
pot,罐、鍋
pound,磅
punish,處罰
rather,頗為、寧可
react,反抗、起反應
real,真誠的、真正的
regret,哀悼、後悔
regular,通常的
reject,拒絕
restrict,約束、限制
role,角色
rule,規定、章程
rush,催促、急送
safe,保險的、安全的
scatter,分散、散開
seesaw,蹺蹺板
shy,怕羞的、靦腆的
situation,境遇、情形
skinny,很瘦的
sofa,沙發、長椅
spice,趣味、香料
stab,傷痛、刺傷
story,敘述、故事
strength,濃度、力量
swallow,燕子、吞嚥
tame,馴服、順從的
tennis,網球
through,經過
trash,垃圾、廢物
trend,傾向、趨勢
tumble,跌倒、翻滾
twenty,二十個的、二十的
union,合併、聯合
waterfall,瀑布
watermelon,西瓜
weave,編織、搖晃
wife,妻子、太太
yellow,黃色的
zebra,斑馬
