about,關於、對於
achievement,成就、功勣
against,反對，違反
almost,幾乎、差不多
always,經常、總是
anyone,誰、任何人
backward,向後的、落後的
bacteria,細菌
ball,球狀體、球
basketball,籃球運動
bomb,炸彈
bookstore,書店
brake,閘、剎車
brown,棕色的、褐色的
candy,糖果
careful,小心的、仔細的
ceiling,天花板
challenge,挑戰、向...挑戰
coat,外套、大衣
cocktail,雞尾酒、開胃食品
cure,痊癒、治癒
enable,使能夠、授予權利或方法
enjoyable,可享受的、令人愉快的
expensive,花錢的、昂貴的
fair,公平的、美好的
fence,籬笆、柵欄
firework,焰火
flu,流行性感冒
focus,焦點、集中
freeze,使結冰、凍結
ghost,鬼
goose,鵝
gun,槍
harvest,收成、成果
heal,醫治、治癒
heavy,重的、沈的
hobby,嗜好、愛好
house,房子、住宅
impressive,感人的、給人深刻印象的
inferior,下等的、劣等的
intelligent,有才智的
interrupt,妨礙、中斷
lay,置放、產卵
leather,皮革、皮革製品
leg,小腿、腿、足
lollipop,棒棒糖
lullaby,輕柔的聲音、搖籃曲
marker,馬克筆、標誌
mess,混亂、弄亂
mirror,鏡子
mixture,混合物、混合劑
peep,偷看、窺視
phone,電話
pilot,領航員、飛行員
plant,植物、工廠
play,遊戲、玩耍
pole,極點、用竿支撐
police,警察、警方
professor,教授
pronounce,發
purse,錢包
pursue,追趕、從事
quite,完全、徹底
rain,雨水、雨
rainy,多雨的、下雨的
rat,老鼠
receiver,接受者、接收器
recorder,錄音機、記錄員
repeat,重複、重做
sausage,臘腸、香腸
sell,賣、銷售
shall,將、會
shiny,發亮的、閃耀的
shorts,短褲
should,將
singer,歌手、歌唱家
smooth,變平靜、平滑的
solve,解決
some,某個、某一
success,成功
survive,在
swell,使膨脹、增大
tend,趨向、護理
tent,帳篷
tenth,第十的、第十個的
term,學期、術語
than,比較、比
thick,粗的、厚的
toast,烤、烤麵包片
tomato,番茄
toward,向、對
true,真實的、確實的
university,大學
violence,猛烈、暴力
visible,看得見的、明顯的
watch,錶
willow,柳樹、柳木製品、柳木制的
wink,眨眼、打信號
writer,作者、作家
yes,是、是的
