admit,容許、承認
adult,成年人
alone,單獨的、孤單的
animal,動物
answer,回答、答覆
balance,平衡、收支差額
barely,僅僅、剛剛
bat,球棒、蝙蝠
become,變成、成為
biology,生物學
block,積木、塊
cancel,取消
candle,蠟燭
caterpillar,毛蟲
clean,未污染的、清潔的
comparison,對照、比較
considerate,體諒的
count,數、計算
crayon,蠟筆
create,創造
curious,好奇的
decorate,佈置
doctor,醫生、博士
double,雙重的、兩倍
doubt,懷疑
dozen,十二個、一打
drown,淹沒、溺死
during,在…的整個期間
elderly,過了中年的、稍老的
e-mail,電子郵件
emotion,情緒
eve,前夕、前夜
experience,經驗、體驗
fast,迅速的、快的
fog,霧
follower,信徒、追隨者
forehead,前部、前額
found,建立、創辦
Friday,星期五
glad,高興的、快活的
good-bye,再見!
grandfather,外祖父、祖父
grape,葡萄
grocery,雜貨、食品
habit,習慣
helicopter,直昇機
hero,英雄
hill,小山、丘陵
honest,正直的、誠實的
hospital,醫院
imagine,想像
indoors,在戶內
ladder,階梯、梯子
late,遲的
locker,公共場所的衣物櫃
match,相配
matter,問題、事情
medical,內科的、醫學的
meet,遇見、碰上
Mrs.,太太、夫人
muscle,肌肉、臂力
new,新鮮的、新的
noise,聲響、喧鬧聲
often,時常、常常
ours,我們
pan,平鍋
parent,父親、母親
patient,病人
pig,豬、小豬
portrait,肖像、人像
poverty,貧困、缺少
print,用印刷體寫、印刷
private,私人的
promote,推動、促進
puppy,小狗
purpose,目的
responsibility,職責、責任
routine,例行公事、常規
same,同一的
secretary,秘書
sense,感官、官能
shopkeeper,店主、商店經理
shore,岸邊
six,六的、六個的
slide,土崩、滑梯
song,歌、歌曲
straight,直的
suck,吮、吸
tear,眼淚、撕
trade,貿易
train,火車、列車
unite,團結、聯合
until,直到…時、到…為止
village,村落
visitor,訪客
waitress,女侍應生、女服務生
wander,迷路、漫步
wave,揮動、波浪
wealth,財產、大量
young,幼小的、年輕的
